code_position,code_fonds,code_titre,description_titre,classe_titre,quantite_actif,cours,valo_titre_cv,actif_net,poids
0091080,009,1080,SAMIR,ACT,345,0.000000,0.000000,56299905.720000,0.0000000000
0091081,009,1081,BMCI,ACT,166,629.000000,104414.000000,56299905.720000,0.0018546035
0091092,009,1092,WAFA ASSURANCE,ACT,257,4900.000000,1259300.000000,56299905.720000,0.0223677106
0091095,009,1095,AFRIQUIA GAZ,ACT,143,4099.000000,586157.000000,56299905.720000,0.0104113318
0091096,009,1096,AUTO-HALL,ACT,2094,90.210000,188899.740000,56299905.720000,0.0033552408
0091105,009,1105,MANAGEM,ACT,244,7550.000000,1842200.000000,56299905.720000,0.0327211916
0091145,009,1145,CIH,ACT,2340,400.000000,936000.000000,56299905.720000,0.0166252499
0091146,009,1146,RISMA,ACT,1150,370.000000,425500.000000,56299905.720000,0.0075577391
0091148,009,1148,ITISSALAT AL MAGHRIB,ACT,19906,106.850000,2126956.100000,56299905.720000,0.0377790348
0091151,009,1151,ADDOHA,ACT,20305,29.900000,607119.500000,56299905.720000,0.0107836681
0091172,009,1172,SNEP,ACT,179,458.000000,81982.000000,56299905.720000,0.0014561658
0091180,009,1180,LABEL VIE,ACT,247,4280.000000,1057160.000000,56299905.720000,0.0187772961
0091181,009,1181,ALLIANCES,ACT,1431,498.000000,712638.000000,56299905.720000,0.0126578898
0091185,009,1185,DELTA HOLDING,ACT,2873,68.000000,195364.000000,56299905.720000,0.0034700591
0091188,009,1188,BCP,ACT,4738,270.000000,1279260.000000,56299905.720000,0.0227222405
0091208,009,1208,JET CONTRACTORS,ACT,65,2600.000000,169000.000000,56299905.720000,0.0030017812
0091220,009,1220,TAQA MOROCCO,ACT,35,1945.000000,68075.000000,56299905.720000,0.0012091494
0091224,009,1224,COSUMAR,ACT,5415,202.950000,1098974.250000,56299905.720000,0.0195200016
0091226,009,1226,TOTALENERGIES MARKETING MAROC,ACT,511,1598.000000,816578.000000,56299905.720000,0.0145040740
0091231,009,1231,SODEP-MARSA MAROC,ACT,2812,901.000000,2533612.000000,56299905.720000,0.0450020647
0091232,009,1232,LAFARGE-HOLCIM MAROC,ACT,796,1799.000000,1432004.000000,56299905.720000,0.0254352824
0091239,009,1239,MUTANDIS,ACT,969,244.850000,237259.650000,56299905.720000,0.0042142104
0091243,009,1243,BANK OF AFRICA,ACT,4751,209.000000,992959.000000,56299905.720000,0.0176369567
0091244,009,1244,ATW,ACT,6371,731.000000,4657201.000000,56299905.720000,0.0827212931
0091246,009,1246,ARADEI CAPITAL,ACT,759,440.000000,333960.000000,56299905.720000,0.0059318039
0091250,009,1250,SOTHEMA,ACT,181,1730.000000,313130.000000,56299905.720000,0.0055618210
0091252,009,1252,TGCC,ACT,1869,834.300000,1559306.700000,56299905.720000,0.0276964354
0091258,009,1258,AKDITAL,ACT,975,1119.000000,1091025.000000,56299905.720000,0.0193788069
0091261,009,1261,HPS (VN 10),ACT,984,520.000000,511680.000000,56299905.720000,0.0090884699
0091262,009,1262,CFG BANK,ACT,1160,230.000000,266800.000000,56299905.720000,0.0047389067
0091271,009,1271,CMGP GROUP,ACT,1300,376.000000,488800.000000,56299905.720000,0.0086820749
0091275,009,1275,VICENNE,ACT,283,420.000000,118860.000000,56299905.720000,0.0021111936
0091276,009,1276,CASH PLUS,ACT,539,290.000000,156310.000000,56299905.720000,0.0027763812
0091278,009,1278,SGTM,ACT,775,835.000000,647125.000000,56299905.720000,0.0114942466
009201379,009,201379,BDT DU 05/08/2015 15 ANS à 4%,OBL,16,106747.260000,1707956.160000,56299905.720000,0.0303367499
009201630,009,201630,BDT du 20/04/2021 ATYP 18/01/2021 à 2.05% 5 ans,OBL,40,101597.410000,4063896.400000,56299905.720000,0.0721830054
009201808,009,201808,BDT DU 20/03/2023 à 4.90% 15 ans,OBL,32,119318.130000,3818180.160000,56299905.720000,0.0678185889
009201862,009,201862,BDT du 15/04/2025  5 ans à 3.30%  ATYP 15/07/2024,OBL,35,106923.500000,3742322.500000,56299905.720000,0.0664712037
00980037,009,80037,Droit d'attribution OULMES (CP34 7P3),ACT,1,2882.000000,2882.000000,56299905.720000,0.0000511901
00980129,009,80129,Droit d ' Attribution BOA 1/48  2025,ACT,47,4.350000,204.450000,56299905.720000,0.0000036314
0099240,009,9240,OBL FEC du 08/12/2014 à 4.32% Révisable 5 ans,OBL,21,26952.890000,566010.690000,56299905.720000,0.0100534927
0099411,009,9411,OBL ONCF du 31/10/19 à 4.02% 30 ANS AMRT LIN 15ans,OBL,4,104064.870000,416259.480000,56299905.720000,0.0073936088
0099523,009,9523,OBL MANAGEM du 21/12/2021 à 3.22% 7 ANS,OBL,20,98933.120000,1978662.400000,56299905.720000,0.0351450393
0121035,012,1035,CREDIT EQDOM,ACT,824,1380.000000,1137120.000000,283093007.710000,0.0040167718
0121038,012,1038,CDM,ACT,3806,1040.000000,3958240.000000,283093007.710000,0.0139821186
0121050,012,1050,CIMENTS DU MAROC,ACT,3913,1737.000000,6796881.000000,283093007.710000,0.0240093567
0121081,012,1081,BMCI,ACT,5898,629.000000,3709842.000000,283093007.710000,0.0131046755
0121092,012,1092,WAFA ASSURANCE,ACT,2220,4900.000000,10878000.000000,283093007.710000,0.0384255340
0121105,012,1105,MANAGEM,ACT,1743,7550.000000,13159650.000000,283093007.710000,0.0464852527
0121145,012,1145,CIH,ACT,12989,400.000000,5195600.000000,283093007.710000,0.0183529789
0121148,012,1148,ITISSALAT AL MAGHRIB,ACT,86909,106.850000,9286226.650000,283093007.710000,0.0328027411
0121180,012,1180,LABEL VIE,ACT,1535,4280.000000,6569800.000000,283093007.710000,0.0232072140
0121185,012,1185,DELTA HOLDING,ACT,9766,68.000000,664088.000000,283093007.710000,0.0023458298
0121188,012,1188,BCP,ACT,10856,270.000000,2931120.000000,283093007.710000,0.0103539117
0121224,012,1224,COSUMAR,ACT,3247,202.950000,658978.650000,283093007.710000,0.0023277814
0121226,012,1226,TOTALENERGIES MARKETING MAROC,ACT,5721,1598.000000,9142158.000000,283093007.710000,0.0322938319
0121231,012,1231,SODEP-MARSA MAROC,ACT,19464,901.000000,17537064.000000,283093007.710000,0.0619480648
0121238,012,1238,IMMORENT INVEST,ACT,778,91.500000,71187.000000,283093007.710000,0.0002514615
0121244,012,1244,ATW,ACT,40406,731.000000,29536786.000000,283093007.710000,0.1043359786
0121246,012,1246,ARADEI CAPITAL,ACT,2536,440.000000,1115840.000000,283093007.710000,0.0039416021
0121250,012,1250,SOTHEMA,ACT,1988,1730.000000,3439240.000000,283093007.710000,0.0121487988
0121252,012,1252,TGCC,ACT,10244,834.300000,8546569.200000,283093007.710000,0.0301899693
0121258,012,1258,AKDITAL,ACT,3601,1119.000000,4029519.000000,283093007.710000,0.0142339051
0121271,012,1271,CMGP GROUP,ACT,11641,376.000000,4377016.000000,283093007.710000,0.0154614063
0121275,012,1275,VICENNE,ACT,1181,420.000000,496020.000000,283093007.710000,0.0017521450
0121276,012,1276,CASH PLUS,ACT,1309,290.000000,379610.000000,283093007.710000,0.0013409374
0121278,012,1278,SGTM,ACT,3995,835.000000,3335825.000000,283093007.710000,0.0117834949
012152398,012,152398,CD CIH du 25/06/2021 à 2.61%  7ans,TCN,50,100476.740000,5023837.000000,283093007.710000,0.0177462419
012201554,012,201554,BDT du 16/07/2020 à 3% ATYP 20/01/2020 15 ans,OBL,123,100787.010000,12396802.230000,283093007.710000,0.0437905631
012201651,012,201651,BDT du 20/04/2021 ATYP 16/06/2021 à 2.30% 10 ans,OBL,200,98472.670000,19694534.000000,283093007.710000,0.0695691291
012201792,012,201792,BDT du 16/01/2023 atp  a 4.20%  10 ans,OBL,127,110402.310000,14021093.370000,283093007.710000,0.0495282221
012201808,012,201808,BDT DU 20/03/2023 à 4.90% 15 ans,OBL,274,119318.130000,32693167.620000,283093007.710000,0.1154856062
012201837,012,201837,BDT du 18/09/2024 à 4%  10 ANS ATYP 02/01/2024,OBL,98,108473.110000,10630364.780000,283093007.710000,0.0375507854
012201862,012,201862,BDT du 15/04/2025  5 ans à 3.30%  ATYP 15/07/2024,OBL,31,106923.500000,3314628.500000,283093007.710000,0.0117086202
0125106,012,5106,OBLIGATION A1 MIFTTAH 09/12/2019 12 ANS AMORT,OBL,105,32551.560000,3417913.800000,283093007.710000,0.0120734660
